"Title",Genre
"The Legend of Zelda: A Link to the Past",Fantasy
"The Legend of Zelda: Majora's Mask",Action Adventure
"The Legend of Zelda: Majora's Mask",Fantasy
"The Last of Us",Modern
"The Last of Us",Adventure
"The Last of Us",General
"The Last of Us",Action Adventure
"The Last of Us",General
"The Last of Us",Modern
"The Legend of Zelda: Twilight Princess",Action Adventure
"The Legend of Zelda: Twilight Princess",Fantasy
"The Legend of Zelda: Twilight Princess",General
"The Legend of Zelda: Twilight Princess",Fantasy
"The Legend of Zelda: Twilight Princess",Open-World
"Madden NFL 2003",Sports
"Madden NFL 2003",Traditional
"Madden NFL 2003",Football
"Madden NFL 2003",Sim
"Tony Hawk's Pro Skater 2",Sports
"Tony Hawk's Pro Skater 2",Alternative
"Tony Hawk's Pro Skater 2",Skateboarding
"The Last of Us Remastered",Action Adventure
"The Last of Us Remastered",General
"The Last of Us Remastered",Modern
"Portal 2",Action
"Portal 2",Shooter
"Portal 2",Shooter
"Portal 2",First-Person
"Portal 2",Sci-Fi
"Portal 2",Sci-Fi
"Portal 2",Arcade
"Red Dead Redemption",Action
"Red Dead Redemption",Action Adventure
"Red Dead Redemption",Shooter
"Red Dead Redemption",Historic
"Red Dead Redemption",Historic
"Red Dead Redemption",Open-World
"Red Dead Redemption",Third-Person
"Red Dead Redemption",Historic
"Portal 2",Action
"Portal 2",Shooter
"Portal 2",Shooter
"Portal 2",First-Person
"Portal 2",Sci-Fi
"Portal 2",Sci-Fi
"Portal 2",Arcade
"Metal Gear Solid V: The Phantom Pain",Modern
"Metal Gear Solid V: The Phantom Pain",Modern
"Metal Gear Solid V: The Phantom Pain",Action Adventure
"Metal Gear Solid V: The Phantom Pain",Open-World
"Portal 2",Action
"Portal 2",Shooter
"Portal 2",Shooter
"Portal 2",First-Person
"Portal 2",Sci-Fi
"Portal 2",Sci-Fi
"Portal 2",Arcade
"World of Goo",Miscellaneous
"World of Goo",Puzzle
"World of Goo",Action
"World of Goo",Puzzle
"World of Goo",General
"World of Goo",Puzzle
"World of Goo",General
"BioShock Infinite",Action
"BioShock Infinite",Shooter
"BioShock Infinite",Shooter
"BioShock Infinite",First-Person
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Sci-Fi
"BioShock Infinite",Arcade
"Final Fantasy IX",Role-Playing
"Final Fantasy IX",Console-style RPG
"Call of Duty: Modern Warfare 2",Action
"Call of Duty: Modern Warfare 2",Shooter
"Call of Duty: Modern Warfare 2",Shooter
"Call of Duty: Modern Warfare 2",First-Person
"Call of Duty: Modern Warfare 2",Modern
"Call of Duty: Modern Warfare 2",Modern
"Call of Duty: Modern Warfare 2",Arcade
"Tony Hawk's Pro Skater 4",Sports
"Tony Hawk's Pro Skater 4",Alternative
"Tony Hawk's Pro Skater 4",Skateboarding
"Devil May Cry",Action Adventure
"Devil May Cry",Fantasy
"Call of Duty 4: Modern Warfare",Action
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",First-Person
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Arcade
"Madden NFL 2002",Sports
"Madden NFL 2002",Traditional
"Madden NFL 2002",Football
"Madden NFL 2002",Sim
"God of War",Action Adventure
"God of War",Linear
"Batman: Arkham City",Action Adventure
"Batman: Arkham City",Fantasy
"Batman: Arkham City",Fantasy
"Batman: Arkham City",Open-World
"The Elder Scrolls V: Skyrim",Role-Playing
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",Western-Style
"Mass Effect 2",Role-Playing
"Mass Effect 2",Action RPG
"Mass Effect 2",Action RPG
"The Legend of Zelda: Ocarina of Time 3D",Miscellaneous
"The Legend of Zelda: Ocarina of Time 3D",Action Adventure
"The Legend of Zelda: Ocarina of Time 3D",Fantasy
"The Legend of Zelda: Ocarina of Time 3D",Fantasy
"The Legend of Zelda: Ocarina of Time 3D",Compilation
"The Legend of Zelda: Ocarina of Time 3D",Open-World
"Chrono Cross",Role-Playing
"Chrono Cross",Console-style RPG
"BioShock",Action
"BioShock",Shooter
"BioShock",Shooter
"BioShock",First-Person
"BioShock",Sci-Fi
"BioShock",Sci-Fi
"BioShock",Arcade
"Mass Effect 2",Role-Playing
"Mass Effect 2",Action RPG
"Mass Effect 2",Action RPG
"Grand Theft Auto: Vice City",Action Adventure
"Grand Theft Auto: Vice City",Modern
"Grand Theft Auto: Vice City",Modern
"Grand Theft Auto: Vice City",Open-World
"Madden NFL 2004",Sports
"Madden NFL 2004",Traditional
"Madden NFL 2004",Football
"Madden NFL 2004",Sim
"Gears of War",Action
"Gears of War",Shooter
"Gears of War",Shooter
"Gears of War",Third-Person
"Gears of War",Sci-Fi
"Gears of War",Sci-Fi
"Gears of War",Arcade
"The Elder Scrolls IV: Oblivion",Role-Playing
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",First-Person
"The Elder Scrolls IV: Oblivion",Western-Style
"Sid Meier's Civilization II",Strategy
"Sid Meier's Civilization II",Turn-Based
"Sid Meier's Civilization II",Historic
"Sid Meier's Civilization II",General
"Sid Meier's Civilization II",Historic
"Sid Meier's Civilization II",4X
"Quake",Action
"Quake",Shooter
"Quake",Shooter
"Quake",First-Person
"Quake",Sci-Fi
"Quake",Sci-Fi
"Quake",Arcade
"Call of Duty 4: Modern Warfare",Action
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",Shooter
"Call of Duty 4: Modern Warfare",First-Person
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Modern
"Call of Duty 4: Modern Warfare",Arcade
"BioShock Infinite",Action
"BioShock Infinite",Shooter
"BioShock Infinite",Shooter
"BioShock Infinite",First-Person
